Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Pkm	20387.629221765346	-0.43544484290710966	0.06086433720486846	6.086249561321921e-14	5.59359233331762e-12
Coro2a	3783.671129540041	-0.4348899134411891	0.06083900747428696	6.416329292847751e-14	5.857376579954035e-12
Cdk1	1551.6499880116655	-0.5408718179798884	0.0785698422950734	6.606415199641332e-14	5.99069730303476e-12
Pink1	3630.721246547706	0.5657277813301407	0.08319574359578853	7.212461498321773e-14	6.496947105971706e-12
Fut8	6438.458362934389	-0.5701530800176505	0.08431758601263369	8.56923696964731e-14	7.668339556654126e-12
Aspa	141.86670855143117	-2.157799757557276	0.3033047920072167	9.8182759163840345e-14	8.728639804879455e-12
Rrm1	6555.075029429871	-0.46178289531698286	0.06570744988689663	1.0022523789840807e-13	8.852361596715238e-12
Psmd2	5445.927417021519	-0.33883975164300195	0.04678896988492416	1.058453601630866e-13	9.28844250927938e-12
Nme2	2325.1644722100177	-0.7968752137544312	0.12791866718661196	1.0795063304658e-13	9.412464812176802e-12
Nrk	125.18889248706763	2.9598242674244717	0.4507170607780543	1.2904090578702283e-13	1.117970955742092e-11
Cx3cl1	283.7152700722512	1.7717919080270457	0.24692345765453871	1.3075795709947124e-13	1.1256770458651947e-11
Noc4l	1126.4692324170705	-0.6997293398517844	0.11057645344216227	1.390410316317015e-13	1.1846379038954527e-11
Srsf5	5474.4307127875645	0.4645638806425738	0.06660371567355636	1.3934867271230143e-13	1.1846379038954527e-11
Prpf31	1739.4840466266305	-0.5117401140885671	0.07513099939989783	1.912112697958949e-13	1.6154383178656912e-11
Mybbp1a	6126.248215271189	-0.3864159388115971	0.05455613946492226	1.9861452242380635e-13	1.667626379017663e-11
Nme1	2504.9566684770466	-0.6068501536055608	0.09300682197712255	2.0276224276768674e-13	1.6884605183383576e-11
Plxnb2	1550.745971673334	-0.6023084978397338	0.09212545879249918	2.0357853625017694e-13	1.6884605183383576e-11
Scd1	150.52749072207774	-2.206165498867188	0.3160908431722157	2.2169093150254287e-13	1.8275394244227807e-11
Pdk2	708.1951125446878	0.8165848238006561	0.13378194748663041	2.3658006153932456e-13	1.938531323528851e-11
Mmp9	98.46694488828277	2.0367796883091493	0.28988800659310177	2.4951751388659524e-13	2.032297738853574e-11
Mllt3	1699.2100326703887	0.7043612470095784	0.11389239877702163	3.3259771135949823e-13	2.6928536130427945e-11
Evc2	281.18748195151227	-1.8903705505541049	0.26945699819186797	3.5341319325085853e-13	2.8444534050876795e-11
Osgin1	665.2144000363802	1.116766260116865	0.1710842014526515	3.6227148478258106e-13	2.8985980800074515e-11
Jup	597.3296959470875	0.9381323562161434	0.15344483268969786	4.3205115409174575e-13	3.4367016362315354e-11
Tcp1	4065.760740304288	-0.431364775456173	0.06263971624541015	4.3587412986720837e-13	3.4469534386359114e-11
Lpin1	784.0052348196314	0.9143454224003168	0.1512300880561297	5.267881012636907e-13	4.141833383461689e-11
Rhbdf1	193.39035700690425	2.302117940658914	0.33888093073116043	5.876398392882112e-13	4.5937224678150854e-11
Lyz2	4934.4137043010105	0.5475624403665039	0.08385308238906228	6.456080089852923e-13	5.018034364695969e-11
Hspa9	6211.221314967831	-0.3735495649688268	0.05397264876697932	7.325200413730439e-13	5.661214547020536e-11
Gfi1b	1348.4609855637755	0.5816207348217216	0.09085853461358699	7.615140239871622e-13	5.852041669081006e-11
Aldh18a1	2888.681404921227	-0.4269976013001962	0.06266620258038397	7.696982050108504e-13	5.881705047504263e-11
Rasa3	4491.35363819792	0.3889915926432401	0.056490064322453494	7.776072797550235e-13	5.908946491188732e-11
Hnrnpab	14506.80475720586	-0.31032409084937873	0.04437788363311647	8.360914888001489e-13	6.318064683699791e-11
Mif	4421.0115503580055	-0.6922464605727939	0.11426898847729926	8.925057299474491e-13	6.707106595991824e-11
Serpinf1	1657.0230727787462	0.6699916437200832	0.10984208782539537	9.78855193148042e-13	7.315597987472345e-11
Serpinb1a	2097.2328263243894	-0.4646916264349248	0.06947541549907991	1.0128998300871112e-12	7.528668573139282e-11
Vwf	1766.552493781477	0.7906892759344218	0.13456204773398736	1.0848908773134735e-12	8.019937887618405e-11
Mafk	1373.738008627603	0.6091956252779097	0.09755774259895018	1.2076423186646916e-12	8.879108550528181e-11
Birc5	1201.2975590400258	-0.5779831096837581	0.09120107592219082	1.2410678270998055e-12	9.075808916242771e-11
Il1r1	406.5858336176932	-1.2632918021217825	0.1911875191502373	1.2634245658239567e-12	9.189893553121636e-11
Gm16548	151.43849727332162	-1.745558845998707	0.2552694973688775	1.3965146740451409e-12	1.010393223210745e-10
Tinagl1	577.2237028117052	1.4943880545666912	0.2198567958522353	1.4736515866677818e-12	1.0605613165002734e-10
Malat1	5806.943074326549	0.6657135743657172	0.11020578709131093	1.5270995876039572e-12	1.0932425573994225e-10
Arrb1	1143.0146670223169	0.6129798712202141	0.09894790608374823	1.5363207852939411e-12	1.0940856189302717e-10
Gart	4482.786679291749	-0.3693529762485308	0.05425543221255305	1.6967375861017143e-12	1.2020325336539333e-10
Furin	1790.4894472568344	0.5175104055115118	0.08003775303616009	1.760953136570777e-12	1.2410613763541819e-10
Hist1h2ab	995.2655234112192	-0.7880925927392289	0.13590653152398352	1.7794006843128847e-12	1.2475983560837038e-10
Ccnb1	1712.8238739697829	-0.5670922991614052	0.08981229995097956	1.7938632261224478e-12	1.2512885949598735e-10
Itgb2	717.8136312707063	0.7393592325792915	0.12640180666503845	1.834374599108029e-12	1.2730185355646636e-10
Acadl	2625.4449812043686	-0.4814174045265452	0.0734814077470837	1.918068889769511e-12	1.3243438090682683e-10
Ccrl2	714.3703075725648	0.7434177074891651	0.12745450327174812	1.954110212928893e-12	1.3424145008211517e-10
Cad	4497.549248696672	-0.4418956570761348	0.06673028274896199	2.279714071135568e-12	1.5582246630947737e-10
Cat	2729.308945372017	0.4097269677254803	0.06140375467733835	2.5799629026086965e-12	1.7546327700641745e-10
Nwd1	665.6793788573295	0.806512941565671	0.14078548826056647	2.595817916208257e-12	1.7566326018042144e-10
Podxl	264.7096338793722	-1.3582033258736634	0.20607276786330317	2.9502354362488768e-12	1.986589227913724e-10
Trap1	2909.2488905056057	-0.42108637585701214	0.06381751775563098	3.6373458324892335e-12	2.437200887365446e-10
Gm5148	900.5323398689898	23.849458331759358	3.511980012817465	4.055114577739306e-12	2.70380727874559e-10
Hist1h2ac	1309.7258862003441	-0.7837489650945378	0.13840064377221217	4.196670017237461e-12	2.784541735339704e-10
P4hb	9989.73564825541	-0.312339942301593	0.04655757118367303	5.958335622150618e-12	3.934236948179258e-10
Pygl	1925.351338379527	0.5060716638512193	0.08024480315201939	6.116792463076588e-12	4.019353192404239e-10
Kdm7a	351.8422564019675	1.5721582677835833	0.23828437668272395	6.246811849957978e-12	4.0850545568811737e-10
Hist1h2ad	1057.8353658772483	-0.7844625162705736	0.14065838676026146	7.045040407202584e-12	4.585006680323902e-10
Stk10	901.9161828855766	0.705523050384549	0.12397720335620037	7.177137909613077e-12	4.648734754597956e-10
Spata13	1208.7551472006153	0.7176013298084591	0.12698868180696535	7.841323383653984e-12	5.054866382201966e-10
Aurkb	1569.1381110760146	-0.5906408856774544	0.09856619765749994	8.468053370236045e-12	5.433134997261825e-10
Sytl1	430.54825972662263	1.0865163290875328	0.18359568791343148	9.098310236690884e-12	5.810104030022037e-10
Hist1h2ag	1582.0076687281332	-0.7794867883144454	0.14077768032693036	9.181111850479369e-12	5.835583335991607e-10
Scd2	7757.177089607392	0.3713469039996433	0.05666110310066685	9.306712978004447e-12	5.88790278729379e-10
Eef1g	8335.678252174706	-0.4303400614268666	0.06697981729774978	1.0018439231802941e-11	6.308833816249241e-10
Tle2	217.3513046766892	1.4542858027473111	0.22492870069810567	1.0286580462863915e-11	6.447837209948155e-10
Kpna2	1583.4027110625163	-0.5875702747026627	0.09854676481808053	1.081020914286015e-11	6.744975447760723e-10
Itga9	138.6326353219803	2.024063538298985	0.3130850954361858	1.1371743507665716e-11	6.938772260512986e-10
Eftud2	4334.901200587394	-0.3582008961842868	0.054717377037792544	1.13446241328589e-11	6.938772260512986e-10
Pld3	1060.28804188507	0.7503746880407537	0.13560491172129843	1.137587276940447e-11	6.938772260512986e-10
Cct7	6795.2375616321115	-0.3601464849395318	0.05503680339146956	1.1301580302302928e-11	6.938772260512986e-10
Hist1h2ae	1233.3675163544829	-0.7635191231240113	0.13832900093972095	1.119845623505169e-11	6.938772260512986e-10
Atp5f1	3767.2295511539314	-0.46278498977294735	0.07338034388064585	1.2986618217336043e-11	7.885892008580574e-10
Hist1h2ah	1038.8879056151081	-0.7817700821094546	0.14282162299157092	1.3246079560257548e-11	8.00769663016103e-10
Hist1h2ai	1017.3217522434863	-0.7765351513670966	0.14201159860450388	1.4061896735187012e-11	8.463270769558129e-10
Mars	2260.0036546761853	-0.48947454243371347	0.07867098584736956	1.4144375024731669e-11	8.475409210854633e-10
Srsf2	8035.830912548781	-0.2916951067923086	0.04415925687324158	1.4253514859657998e-11	8.503346891274917e-10
Ccna2	3150.907568047818	-0.5060364282436084	0.08203549494072948	1.4684222232089925e-11	8.722043266414286e-10
Atp13a2	3603.3778192500677	0.5439944888528103	0.0899280725823966	1.500668745073738e-11	8.846610603566832e-10
Adam22	450.06148606758256	1.2598062782777337	0.20380518944468703	1.5024018890045127e-11	8.846610603566832e-10
Cyc1	2402.463352054185	-0.6336939556131983	0.11013803289631441	1.5639001175859234e-11	9.169038534225746e-10
Gpx3	145.50552826334732	1.8239259128239722	0.28234250973300373	1.5791799429944752e-11	9.218886517000365e-10
Tie1	3286.3737033916905	0.46479886125941666	0.07428977276422495	1.7295962382429957e-11	1.005383249255608e-9
Ifi47	3110.039010488102	-0.47006213993916923	0.07533965535336876	1.7688575130556957e-11	1.0238297826631308e-9
Odc1	3533.9639945631116	-0.36968523560838923	0.05738386298852903	1.9836162219772635e-11	1.143268976751472e-9
Ptges3	4286.1906620710015	-0.393155122850673	0.06177074006955812	2.471619264146436e-11	1.4185217397012582e-9
Psat1	2606.910258717401	-0.4684201766824157	0.07574693540423376	2.576175062341327e-11	1.4723165209229718e-9
Basp1	747.5157767421252	-0.6738212745985305	0.12138571125792767	2.5993270391690518e-11	1.4793324848024034e-9
Hsp90aa1	9148.729624996928	-0.38862203108665344	0.06111763525484012	2.7241913073090736e-11	1.5439354234174173e-9
Rsad2	538.0789687872425	0.9461933885920445	0.1751306811628432	3.333703392101302e-11	1.8815366613843117e-9
Gbp6	531.3255807294876	1.120083139185532	0.19448618005452623	3.348537896870842e-11	1.8820996889767433e-9
Anxa6	1727.6569870290716	0.5408178798296853	0.09145942884357167	3.653980680609583e-11	2.045326963689364e-9
Eef1d	2318.309685792972	-0.4937349785317019	0.08170756392402183	4.0027882409807734e-11	2.2313903956483804e-9
Hist1h2an	914.7547753469083	-0.7699234844947115	0.145437565356168	4.048867153225571e-11	2.2478649395173147e-9
Sbno2	1576.5362773615598	-0.6121938943417878	0.10875232195989355	4.8616281174423654e-11	2.6881246200589858e-9
Samm50	2575.253655087203	-0.4012343578378304	0.0643404299129413	5.0757088890765864e-11	2.795133291871244e-9
Btg1	1559.8327325758744	0.49680995061438193	0.0829461069358978	5.243665502210887e-11	2.864431251448694e-9
Itsn1	1499.2100854490045	0.641765147204445	0.11620225528091578	5.224561045598981e-11	2.864431251448694e-9
