baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000229932	2189.96983368549	-8.74633423232064	0.301504337218448	-29.0089831310907	5.0688265523601e-185	8.2890006381964e-183
ENSG00000218175	10008.8050588765	-13.434100462601	0.465008612058917	-28.890003570297	1.59430406270807e-183	2.58839279015346e-181
ENSG00000224831	1514.42926800227	-5.5890242889463	0.19412191623859	-28.7913101067732	2.7556418367475e-182	4.44189780927721e-180
ENSG00000230629	7357.78716382328	-7.20706620810382	0.250482975573858	-28.7726788281415	4.71402221100274e-182	7.54477583231906e-180
ENSG00000254612	1312.61986467476	-7.44709585619121	0.259439730012669	-28.7045313215041	3.34941694527573e-181	5.32297832422799e-179
ENSG00000212802	11561.8904547434	-6.43574872936274	0.228568445231129	-28.1567681963051	1.98014890346959e-174	3.12489652479709e-172
ENSG00000180764	2237.47487333734	-9.06128009353248	0.323478387894786	-28.0120107946122	1.16016995447334e-172	1.81816356684721e-170
ENSG00000226608	2587.14275834699	-10.6367335829772	0.381617368492779	-27.8727711607772	5.70669544731865e-171	8.88158594204414e-169
ENSG00000213300	2755.08957130495	-6.68611096715537	0.240113098172604	-27.8456736348014	1.21523953282032e-170	1.87837743405179e-168
ENSG00000240036	568.746345426462	-7.65728488451352	0.277814962563219	-27.562535919105	3.13132600416602e-167	4.80711795483093e-165
ENSG00000218283	4246.20116988578	-11.6993580536104	0.428744648118102	-27.2874731030758	5.97332350990542e-164	9.10810754378619e-162
ENSG00000228929	6321.78504408035	-12.6612137657663	0.465036265509895	-27.2262933125951	3.172523560012e-163	4.80498920663026e-161
ENSG00000234825	2189.89134716132	-8.58489275568122	0.316529634002345	-27.121924248071	5.42983633403209e-162	8.16900777000682e-160
ENSG00000257576	1044.38935261204	-9.20592681739286	0.339561496071652	-27.111221159923	7.2611171944267e-162	1.08517636905051e-159
ENSG00000229419	458.969845516055	-5.411621839037	0.200456374545089	-26.9965066030851	1.62427935985256e-160	2.41152054696005e-158
ENSG00000260747	1240.17465165759	-8.71364707550934	0.324398862579555	-26.8609051407276	6.29070306260033e-159	9.27858143880402e-157
ENSG00000214223	471.487642868328	-5.21909763926627	0.195119657999349	-26.7481897661162	1.29612718016784e-157	1.89933130356154e-155
ENSG00000230383	283.830653648818	-5.49850133240382	0.206327323517318	-26.6494094852266	1.81811464947906e-156	2.64705763192218e-154
ENSG00000143947	16337.284515704	2.6470006700567	0.0995282737169943	26.5954644966853	7.65966107206248e-156	1.10804853470022e-153
ENSG00000214975	393.283689241815	-6.09378083973612	0.232992843825727	-26.1543691199981	8.78963183708342e-151	1.26341160297746e-148
ENSG00000131876	1864.95349529075	2.15657484540707	0.0826955948926416	26.078473081992	6.39820978573209e-150	9.13850634396304e-148
ENSG00000163041	5502.76925852125	2.23240197221834	0.0861121525476035	25.9243545327038	3.5397572264865e-148	5.02400637296357e-146
ENSG00000236814	1818.0302244052	-9.49907975809252	0.366509180721463	-25.9177130007872	4.20581874699511e-148	5.93204447896492e-146
ENSG00000234241	1896.91767993906	-10.2357896741869	0.396731579830652	-25.8002896531608	8.800968974485e-147	1.23361159532424e-144
ENSG00000226525	1569.73577532912	-10.1714917091833	0.396956509974308	-25.623692907421	8.30778722367267e-145	1.15729527331248e-142
ENSG00000214455	584.148994368275	-5.50398917292697	0.215203036187447	-25.5757970260832	2.8365707330127e-144	3.92717127189556e-142
ENSG00000077380	1024.21307285228	1.99233773702964	0.0779676812788795	25.5533793534699	5.03578107331907e-144	6.92941899277996e-142
ENSG00000228519	1034.47417111626	-9.38358159382144	0.367688308121095	-25.5204785862569	1.16818649796001e-143	1.59772513330083e-141
ENSG00000217094	805.882236417524	-8.6573924951609	0.341101960702706	-25.3806588426691	4.12405292746587e-142	5.60647604904351e-140
ENSG00000225067	530.217745795914	-5.64104379617348	0.222539247714543	-25.3485344904616	9.32706355540552e-142	1.26038229493914e-139
ENSG00000269242	1046.7104193322	-8.25513103666039	0.325756014749445	-25.3414539191543	1.11635697640752e-141	1.4995730884874e-139
ENSG00000230457	2973.89950953994	-11.2790086142582	0.445693783005499	-25.3066321414654	2.70004833269095e-141	3.60544323809685e-139
ENSG00000105640	13427.4085027813	4.77124127540841	0.18886559205865	25.2626284300995	8.22865174640697e-141	1.09232931741862e-138
ENSG00000227344	487.448953500883	-7.01599573167554	0.277919730719553	-25.2446838283509	1.29552012016085e-140	1.70970775155964e-138
ENSG00000258427	1394.50734501491	-9.76294916838373	0.388347513598309	-25.1397236406208	1.83062775992046e-139	2.40184748012355e-137
ENSG00000226360	3433.86282006045	-12.01249662015	0.479616597479704	-25.0460402814944	1.92818862810868e-138	2.51522732777621e-136
ENSG00000148303	33418.4165288142	2.89491845447426	0.115940892166365	24.9689164916922	1.33074866187594e-137	1.72591983060658e-135
ENSG00000241889	454.900211380138	-7.46377288237402	0.299183248561886	-24.9471617085879	2.29232661934507e-137	2.95605341821487e-135
ENSG00000181163	27117.2129219853	1.57872815429658	0.0633963001679708	24.9025282250492	6.98548869898338e-137	8.95690474261124e-135
ENSG00000180211	2048.43420277093	-10.1063920819738	0.406468876869927	-24.8638768109371	1.83046340715105e-136	2.33378913611173e-134
ENSG00000237350	1929.85390984913	-10.3444145825269	0.416471864310056	-24.8382074973152	3.46775692775377e-136	4.39645340385502e-134
ENSG00000234769	258.114879280114	5.22979578104357	0.211433467480642	24.7349477987556	4.50203679411827e-135	5.67583599624956e-133
ENSG00000231043	1525.27924498494	-9.411073748936	0.380718029696395	-24.71927519808	6.6372639691599e-135	8.32128533289064e-133
ENSG00000174028	507.719219643042	-6.878991419883	0.278530503746857	-24.6974436456518	1.13930368741366e-134	1.42047880187095e-132
ENSG00000224411	2289.68279774407	-11.2792014082986	0.460237275892741	-24.5073617438306	1.23296205801053e-132	1.52880520676504e-130
