baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000225580	631.195132496716	-1.58546170319022	0.985895533176846	3467.78976924271	0	0	RP1-159M24.1
ENSG00000225674	582.216353179679	-1.21558022914637	1.22088201420347	2400.84103321779	0	0	IPO7P2
ENSG00000226015	2740.78941674078	-1.1187000180562	1.26013201434288	4400.81122846805	0	0	CCT8P1
ENSG00000226049	707.718273872299	0.222004389766564	0.528537770105982	3936.37007702183	0	0	TLK2P1
ENSG00000226054	644.205711872841	0.311255181300239	0.36461048069797	3616.95357644921	0	0	MEMO1P1
ENSG00000226084	3996.74272007179	-0.320692822295577	0.249845396171069	4039.72319936382	0	0	RP4-706A16.3
ENSG00000226121	1746.19322456738	-0.0403295573799793	0.212403385507684	5259.58663688602	0	0	AHCTF1P1
ENSG00000226221	4404.87933102124	0.785052884607936	0.665313183776749	5616.13382919681	0	0	AC022431.1
ENSG00000226268	587.686648383968	1.23799921262188	0.620783695447848	2760.19456426894	0	0	RP11-61N20.3
ENSG00000226360	3433.86282006045	-0.568310074948346	1.00625086160722	5209.64346163623	0	0	RPL10AP6
ENSG00000226415	7092.89418587147	-0.207441373554166	0.419725058103724	5340.17054697116	0	0	TPI1P1
ENSG00000226525	1569.73577532912	0.181268501077393	0.780158409779038	5925.07867470502	0	0	RPS7P10
ENSG00000226608	2587.14275834699	-2.35739469746579	1.10314609349586	2675.00557374335	0	0	FTLP3
ENSG00000226666	577.58670677432	0.154979107919005	1.68457793632576	1546.46186980811	0	0	HSPA9P1
ENSG00000226723	1187.70674062555	-0.169057459741355	1.32421029853636	4280.50706749079	0	0	RP11-142L4.3
ENSG00000226784	283.848448175338	0.0287409473657976	0.696674471400846	1830.11462922539	0	0	PGAM4
ENSG00000226976	2872.51464497745	0.235735883670453	0.183887061262257	4425.13174289288	0	0	COX6A1P2
ENSG00000227008	2084.57411806579	-0.0457063876146559	0.443526743986646	5732.4042051327	0	0	RP3-417G15.1
ENSG00000227081	3961.14102574423	-0.0646661951468515	0.198112873529408	3643.5069143492	0	0	RP11-543P15.1
ENSG00000227097	12245.1586215444	1.96113777808061	0.172124112640901	2240.65720975555	0	0	RP11-742N3.1
ENSG00000227344	487.448953500883	0.241263672737488	0.550228655202313	2184.61551640111	0	0	HAUS6P1
ENSG00000227347	1374.49342042144	-0.147596527851879	1.67652148644095	2971.83252167598	0	0	HNRNPKP2
ENSG00000227615	8372.93924073415	-0.580420299827472	0.566620143573841	3504.83934542229	0	0	RP11-864N7.2
ENSG00000228057	469.969980215756	0.894575352882763	0.863328950205794	2146.99139585162	0	0	SEC63P1
ENSG00000228110	186.565752684468	-0.601459355421497	1.67418400382704	1554.23559406051	0	0	ST13P19
ENSG00000228196	424.125867733951	-1.74382796171229	1.39460378157862	1892.47503028073	0	0	PTPN2P1
ENSG00000228232	9647.62575274862	-0.240258437908224	0.752267168866742	2918.87266067829	0	0	GAPDHP1
ENSG00000228285	265.055687924317	-0.708477074615205	1.67269882527558	2106.70048948911	0	0	LYPLA2P1
ENSG00000228305	1451.96849258411	0.116134677331769	0.660798172495339	4632.28730693024	0	0	AC016734.2
ENSG00000228328	690.1954985932	-0.291904042480314	1.67840764806836	2246.19260191407	0	0	RP11-516A11.1
ENSG00000228519	1034.47417111626	-0.349060593301455	0.727669911541903	2287.19209553696	0	0	RP11-298C3.2
ENSG00000228532	1115.31382169152	-0.443310977812531	0.354793210930832	4097.74065667374	0	0	RP1-241P17.4
ENSG00000228589	3314.20868369545	-0.0206654697069552	0.166565388365239	4614.90264417447	0	0	SPCS2P4
ENSG00000228818	806.9237351277	0.000128168154807643	0.89686208554492	2189.57669200466	0	0	RP11-567G24.1
ENSG00000228929	6321.78504408035	-1.00427987931019	1.0050381924187	2937.55571177607	0	0	RP11-159C21.4
ENSG00000229091	429.104920140505	-1.04237053860056	1.67539473811601	2117.92537350825	0	0	HSPA8P8
ENSG00000229117	24173.1738165537	-0.377722039271813	0.165469741151961	2563.72708695	0	0	RPL41
ENSG00000229132	3704.55288861923	0.493957493175075	0.70805321014018	2727.36779874677	0	0	EIF4A1P10
ENSG00000229419	458.969845516055	-0.979374613641805	0.306373039618173	2221.4812069099	0	0	RALGAPA1P
ENSG00000229638	16986.1409945817	-0.0328380357759082	0.290520227046358	9947.01551558269	0	0	RPL4P4
ENSG00000229644	3802.31390872581	1.3192697443903	0.173944352704982	1993.52251680604	0	0	NAMPTL
ENSG00000229835	378.808243563959	-0.0462318232426361	1.67719864964623	1835.38658969386	0	0	KHSRPP1
ENSG00000229932	2189.96983368549	1.32781644489144	0.531727664410058	3227.41727674808	0	0	YWHAZP3
ENSG00000229944	2248.84798456844	0.779951767557712	0.23899291450278	5058.05711996373	0	0	AC004797.1
ENSG00000229994	649.881024027038	0.614707908060796	0.946277003703715	2674.1803680439	0	0	RPL5P4
ENSG00000230043	1140.68776698111	1.21222197469809	0.662988604889979	2330.17437233251	0	0	TMSB4XP6
ENSG00000230202	5249.97596088147	-0.444940180343083	0.231928805021568	2439.43259688151	0	0	RP11-632C17__A.1
ENSG00000230207	1726.51980997583	0.650569891570447	0.247327886723795	3527.26482488651	0	0	RPL4P5
ENSG00000230409	3429.23952064251	0.831145685730024	0.229718639571904	6784.16441496659	0	0	TCEA1P2
ENSG00000230457	2973.89950953994	1.57298343866042	0.963326914676351	4488.66574447265	0	0	PA2G4P4
ENSG00000230562	222.726260997835	0.306656386753326	1.6744963956743	1709.92552383767	0	0	FAM133DP
ENSG00000230626	691.983068754039	-2.01223283001858	1.26197414791949	2518.98003239017	0	0	RP11-286H14.4
ENSG00000230897	804.04908887624	-0.636871849544496	1.23648811521501	1523.52943070449	0	0	RPS18P12
ENSG00000231007	795.062328938226	0.170580063292189	1.67734454862884	2324.16503083702	0	0	CDC20P1
ENSG00000231043	1525.27924498494	0.815318421848943	0.726615150871908	2700.51319059108	0	0	AC007238.1
