Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Hist1h2ac	1309.7258862003441	-0.7837489659210136	0.1384006416903836	4.196670006063342e-12	2.78454172792554e-10
P4hb	9989.73564825541	-0.3123399422261751	0.046557571168947376	5.9583354575439575e-12	3.934236839490918e-10
Pygl	1925.351338379527	0.506071664666217	0.08024480346098507	6.1167923717919985e-12	4.0193531324210035e-10
Kdm7a	351.8422564019675	1.5721582706253607	0.23828438340459265	6.246811852653507e-12	4.0850545586438946e-10
Hist1h2ad	1057.8353658772483	-0.7844625170629368	0.14065838459769014	7.045040377251402e-12	4.5850066608312713e-10
Stk10	901.9161828855766	0.7055230529024977	0.12397720253945185	7.177137837475381e-12	4.6487347078733395e-10
Spata13	1208.7551472006153	0.7176013321735144	0.1269886807863504	7.84132333499927e-12	5.05486635083697e-10
Aurkb	1569.1381110760146	-0.59064088770952206	0.09856619803271506	8.468053271582976e-12	5.433134933965643e-10
Sytl1	430.54825972662263	1.0865163188240359	0.1835956874452722	9.098310166024572e-12	5.810103984895128e-10
Hist1h2ag	1582.0076687281332	-0.7794867892426259	0.14077767822123954	9.181111842401683e-12	5.835583330857369e-10
Scd2	7757.177089607392	0.37134690396340414	0.05666110313129487	9.306712817047598e-12	5.887902685464252e-10
Eef1g	8335.678252174706	-0.4303400615860127	0.06697981742729384	1.0018439129411384e-11	6.308833751771002e-10
Tle2	217.3513046766892	1.4542857993085347	0.224928706494754	1.028658036088804e-11	6.44783714602761e-10
Kpna2	1583.4027110625163	-0.5875702767070007	0.09854676521031476	1.0810209039727013e-11	6.744975383411323e-10
Itga9	138.6326353219803	2.0240635757166827	0.313085103421338	1.1371743466122602e-11	6.938772220748341e-10
Eftud2	4334.901200587394	-0.3582008961328889	0.054717377050214164	1.1344623866959044e-11	6.938772220748341e-10
Pld3	1060.28804188507	0.7503746897931552	0.1356049100761995	1.1375872704211735e-11	6.938772220748341e-10
Cct7	6795.2375616321115	-0.36014648488772993	0.05503680340984281	1.1301580081377893e-11	6.938772220748341e-10
Hist1h2ae	1233.3675163544829	-0.7635191245262434	0.1383289990720038	1.1198456203155568e-11	6.938772220748341e-10
Atp5f1	3767.2295511539314	-0.4627849901611338	0.07338034409060872	1.2986618074690955e-11	7.885891921961891e-10
Hist1h2ah	1038.8879056151081	-0.7817700829633715	0.14282162079055155	1.3246079509159947e-11	8.007696599270826e-10
Hist1h2ai	1017.3217522434863	-0.7765351523869156	0.14201159648040046	1.4061896675343522e-11	8.463270733540822e-10
Mars	2260.0036546761853	-0.4894745430876709	0.07867098613051435	1.4144374838810684e-11	8.475409099449469e-10
Srsf2	8035.830912548781	-0.291695106718111	0.04415925684960243	1.4253514407242613e-11	8.503346621373421e-10
Ccna2	3150.907568047818	-0.5060364290906403	0.08203549527465442	1.4684222067751817e-11	8.722043168801757e-10
Atp13a2	3603.3778192500677	0.5439944902183315	0.08992807300820459	1.500668735624472e-11	8.846610582303845e-10
Adam22	450.06148606758256	1.2598062680678142	0.2038051926084724	1.502401885393463e-11	8.846610582303845e-10
Cyc1	2402.463352054185	-0.6336939581837234	0.11013803304128911	1.563900112916768e-11	9.16903850685081e-10
Gpx3	145.50552826334732	1.8239259338586666	0.2823425181591125	1.579179931715217e-11	9.21888645115467e-10
Tie1	3286.3737033916905	0.4647988616734983	0.07428977298261481	1.7295962175619035e-11	1.0053832372340605e-9
Ifi47	3110.039010488102	-0.4700621404015479	0.0753396555866364	1.7688574916412466e-11	1.0238297702682654e-9
Odc1	3533.9639945631116	-0.36968523557467864	0.05738386301274484	1.9836161767076693e-11	1.1432689506600728e-9
Ptges3	4286.1906620710015	-0.3931551228680505	0.06177074013063493	2.4716192228143727e-11	1.418521715979793e-9
Psat1	2606.910258717401	-0.4684201771412931	0.07574693563840465	2.5761750297908282e-11	1.4723165023199515e-9
Basp1	747.5157767421252	-0.6738212773988729	0.12138571087109173	2.5993270055913506e-11	1.4793324656926172e-9
Hsp90aa1	9148.729624996928	-0.38862203108645155	0.061117635315424954	2.7241912732552504e-11	1.543935404117413e-9
Rsad2	538.0789687872425	0.9461933823009915	0.17513067812892347	3.3337033702970724e-11	1.8815366490780405e-9
Gbp6	531.3255807294876	1.1200831279686898	0.19448618029225415	3.348537881120771e-11	1.8820996801241625e-9
Anxa6	1727.6569870290716	0.5408178812200417	0.0914594292820515	3.653980644438232e-11	2.0453269434423386e-9
